Year,Pullman,Spokane,TriCities,Vancouver
1990-91,15992,142,316,236
1991-92,15565,148,424,315
1992-93,15825,182,492,349
1993-94,16223,230,529,484
1994-95,16555,262,623,565
1995-96,16853,317,619,636
1996-97,16852,364,656,722
1997-98,16821,288,647,827
1998-99,17226,383,591,948
1999-00,16985,432,596,970
2000-01,17232,526,639,1076
2001-02,17606,567,631,1150
2002-03,17830,628,627,1226
2003-04,17974,627,677,1262
2004-05,17954,1192,672,1339
2005-06,17985,1282,666,1366
2006-07,17579,1319,662,1684
2007-08,18246,1340,849,1898
2008-09,18762,1436,957,2161
2009-10,19271,1344,1081,2296
2010-11,19368,1334,1129,2413
2011-12,20333,1395,1123,2433
2012-13,20527,1309,1058,2295
2013-14,20019,1656,1048,2370
